"State_county","Name","Acres"
"19_41","Clay County",164104.2
"19_43","Clayton County",160295.7
"19_45","Clinton County",204707.66
"19_47","Crawford County",216761.8
"19_49","Dallas County",134866.29
"19_51","Davis County",43562.2
"19_53","Decatur County",36261.34
"19_55","Delaware County",205388.36
"19_57","Des Moines County",73592.4
"19_59","Dickinson County",92804.36
"19_61","Dubuque County",146390.41
"19_63","Emmet County",122852.8
"19_65","Fayette County",201130.36
"19_67","Floyd County",151332.8
"19_69","Franklin County",202457.01
"19_71","Fremont County",112526.4
"19_73","Greene County",180707.9
"19_75","Grundy County",164596
"19_77","Guthrie County",115540.4
"19_79","Hamilton County",200005.31
"19_81","Hancock County",190902.6
"19_83","Hardin County",194618.59
"19_85","Harrison County",176565.16
"19_87","Henry County",84022.24
"19_89","Howard County",127136.5
"19_91","Humboldt County",138686.98
"19_93","Ida County",130163.2
"19_95","Iowa County",125848.6
"19_97","Jackson County",114064.82
"19_99","Jasper County",175488
"19_101","Jefferson County",73217
"19_103","Johnson County",113147.24
"19_105","Jones County",162731.85
"19_107","Keokuk County",115479.67
"19_109","Kossuth County",316593.2
"19_111","Lee County",73480.87
"19_113","Linn County",163078.62
"19_115","Louisa County",80148.7
"19_117","Lucas County",30891.6
"19_119","Lyon County",180818.4
"19_121","Madison County",70263.21
"19_123","Mahaska County",130835.35
"19_125","Marion County",80163.9
"19_127","Marshall County",153547.67
"19_129","Mills County",98255.9
"19_131","Mitchell County",155612.79
"19_133","Monona County",179444.79
"19_135","Monroe County",32183.8
"19_137","Montgomery County",95880.47
"19_139","Muscatine County",92920.07
"19_141","O'Brien County",169422.5
"19_143","Osceola County",127962.8
"19_145","Page County",110132.61
"19_147","Palo Alto County",174898.7
"19_149","Plymouth County",232992.02
"19_151","Pocahontas County",179416.03
"19_153","Polk County",89205.1
"19_155","Pottawattamie County",125601.4
"19_157","Poweshiek County",147587.5
"19_159","Ringgold County",56297.3
"19_161","Sac County",175232.03
"19_163","Scott County",116865.05
"19_165","Shelby County",175055.4
"19_167","Sioux County",256239.03
"19_169","Story County",174251.5
"19_171","Tama County",174126.04
"19_173","Taylor County",84768.88
"19_175","Union County",59219.49
"19_177","Van Buren County",48376.67
"19_179","Wapello County",59876.7
"19_181","Warren County",65836.1
"19_183","Washington County",125064.1
"19_185","Wayne County",56482.5
"19_187","Webster County",208445.09
"19_189","Winnebago County",136785.15
"19_191","Winneshiek County",166914.01
"19_193","Woodbury County",238737.91
"19_195","Worth County",118295.91
"19_197","Wright County",185917.8
"20_1","Allen County",43713.95
"20_3","Anderson County",50557.13
"20_5","Atchison County",66618.36
"20_7","Barber County",5652.13
"20_9","Barton County",36997.83
"20_11","Bourbon County",12540.28
"20_13","Brown County",115362.33
"20_15","Butler County",71649.44
"20_17","Chase County",7566.35
"20_19","Chautauqua County",2561.85
"20_21","Cherokee County",58365.21
"20_23","Cheyenne County",69021.84
"20_25","Clark County",2609.69
"20_27","Clay County",32480.54
"20_29","Cloud County",25849.56
"20_31","Coffey County",38819.49
"20_35","Cowley County",22725.46
"20_37","Crawford County",54320.62
"20_39","Decatur County",105783.61
"20_41","Dickinson County",24635.69
"20_43","Doniphan County",88467.64
"20_45","Douglas County",28680.64
"20_47","Edwards County",68455.62
"20_49","Elk County",1705.1
"20_51","Ellis County",5898.56
"20_53","Ellsworth County",4462.99
"20_55","Finney County",104610.75
"20_57","Ford County",48662.67
"20_59","Franklin County",33821.08
"20_61","Geary County",8928.05
"20_63","Gove County",87447.01
"20_65","Graham County",30956.62
"20_67","Grant County",50018.4
"20_69","Gray County",90444.48
"20_71","Greeley County",50791.82
"20_73","Greenwood County",11411.64
"20_75","Hamilton County",16059.4
"20_77","Harper County",6570.8
"20_79","Harvey County",61724.73
"20_81","Haskell County",93375.53
"20_83","Hodgeman County",16158.72
"20_85","Jackson County",35284.92
"20_87","Jefferson County",42493.91
"20_89","Jewell County",28304.66
"20_91","Johnson County",15449.06
"20_93","Kearny County",48179.66
"20_95","Kingman County",11540.9
"20_97","Kiowa County",31558.03
"20_99","Labette County",46613.83
"20_101","Lane County",13366.65
"20_103","Leavenworth County",17676.38
"20_105","Lincoln County",8955.42
"20_107","Linn County",18561.24
"20_109","Logan County",84915.31
"20_111","Lyon County",29016.15
"20_113","McPherson County",43886.57
"20_115","Marion County",42081.56
"20_117","Marshall County",100019.2
"20_119","Meade County",81579.82
"20_121","Miami County",22548.49
"20_123","Mitchell County",26393.87
"20_125","Montgomery County",45312.64
"20_127","Morris County",23009.28
"20_129","Morton County",29465.16
"20_131","Nemaha County",105833.68
"20_133","Neosho County",40179.6
"20_135","Ness County",6730.16
"20_137","Norton County",88093.64
"20_139","Osage County",37911.24
