"county","deaths","population"
"Clay County, Nebraska",13,6105
"Cuming County, Nebraska",33,9010
"Custer County, Nebraska",12,10543
"Dakota County, Nebraska",33,21587
"Dawes County, Nebraska",25,8195
"Dawson County, Nebraska",57,24111
"Dodge County, Nebraska",144,37171
"Douglas County, Nebraska",2028,584522
"Fillmore County, Nebraska",16,5557
"Gage County, Nebraska",61,21706
"Garfield County, Nebraska",10,1815
"Hall County, Nebraska",244,62893
"Hamilton County, Nebraska",28,9431
"Holt County, Nebraska",19,10137
"Howard County, Nebraska",17,6472
"Johnson County, Nebraska",15,5287
"Keith County, Nebraska",22,8331
"Kimball County, Nebraska",11,3438
"Knox County, Nebraska",11,8405
"Lancaster County, Nebraska",863,322615
"Lincoln County, Nebraska",198,34680
"Madison County, Nebraska",140,35584
"Merrick County, Nebraska",12,7659
"Morrill County, Nebraska",24,4555
"Nance County, Nebraska",13,3377
"Nemaha County, Nebraska",32,7076
"Nuckolls County, Nebraska",18,4096
"Otoe County, Nebraska",24,15907
"Perkins County, Nebraska",16,2861
"Phelps County, Nebraska",27,8964
"Pierce County, Nebraska",22,7315
"Platte County, Nebraska",80,34294
"Polk County, Nebraska",22,5209
"Red Willow County, Nebraska",32,10705
"Richardson County, Nebraska",23,7870
"Sarpy County, Nebraska",217,190597
"Saunders County, Nebraska",33,22280
"Scotts Bluff County, Nebraska",199,36084
"Seward County, Nebraska",27,17608
"Sheridan County, Nebraska",27,5134
"Thayer County, Nebraska",14,5032
"Thurston County, Nebraska",12,6769
"Washington County, Nebraska",33,20865
"Wayne County, Nebraska",21,9698
"York County, Nebraska",18,14128
"Belknap County, New Hampshire",197,63709
"Carroll County, New Hampshire",60,50098
"Cheshire County, New Hampshire",144,76455
"Coos County, New Hampshire",121,31262
"Grafton County, New Hampshire",203,91112
"Hillsborough County, New Hampshire",1098,422941
"Merrimack County, New Hampshire",359,153800
"Rockingham County, New Hampshire",509,314182
"Strafford County, New Hampshire",262,130895
"Sullivan County, New Hampshire",51,43064
"Atlantic County, New Jersey",1079,274536
"Bergen County, New Jersey",4206,955746
"Burlington County, New Jersey",1321,461863
"Camden County, New Jersey",2083,523486
"Cape May County, New Jersey",269,95266
"Cumberland County, New Jersey",629,154148
"Essex County, New Jersey",4007,862782
"Gloucester County, New Jersey",955,302285
"Hudson County, New Jersey",2208,724857
"Hunterdon County, New Jersey",297,128962
"Mercer County, New Jersey",1243,387340
"Middlesex County, New Jersey",3353,863183
"Monmouth County, New Jersey",2544,643608
"Morris County, New Jersey",2205,509277
"Ocean County, New Jersey",2746,637229
"Passaic County, New Jersey",2060,525052
"Salem County, New Jersey",172,64834
"Somerset County, New Jersey",891,345356
"Sussex County, New Jersey",377,144231
"Union County, New Jersey",2171,575352
"Warren County, New Jersey",368,109638
"Bernalillo County, New Mexico",3364,676438
"Chaves County, New Mexico",336,65158
"Cibola County, New Mexico",114,27172
"Colfax County, New Mexico",48,12385
"Curry County, New Mexico",184,48429
"Dona Ana County, New Mexico",950,NA
"Eddy County, New Mexico",189,62314
"Grant County, New Mexico",65,28190
"Lea County, New Mexico",210,74455
"Lincoln County, New Mexico",58,20273
"Los Alamos County, New Mexico",27,19418
"Luna County, New Mexico",54,25422
"McKinley County, New Mexico",316,72898
"Otero County, New Mexico",157,67843
"Quay County, New Mexico",25,8744
"Rio Arriba County, New Mexico",106,40359
"Roosevelt County, New Mexico",51,19197
"Sandoval County, New Mexico",814,148829
"San Juan County, New Mexico",814,121663
"San Miguel County, New Mexico",39,27203
"Santa Fe County, New Mexico",461,154823
"Sierra County, New Mexico",60,11574
"Socorro County, New Mexico",38,16602
"Taos County, New Mexico",87,34488
"Torrance County, New Mexico",18,15045
"Valencia County, New Mexico",104,76205
"Churchill County, Nevada",112,25516
"Clark County, Nevada",9449,2265469
"Douglas County, Nevada",63,49484
"Elko County, Nevada",109,53703
"Humboldt County, Nevada",45,17288
"Lyon County, Nevada",58,59240
"Mineral County, Nevada",10,4555
"Nye County, Nevada",84,51590
"Pershing County, Nevada",14,6651
"Washoe County, Nevada",1662,486489
"White Pine County, Nevada",18,9078
"Carson City, Nevada",406,58644
"Albany County, New York",1247,314838
"Allegany County, New York",124,46446
"Bronx County, New York",7174,1472656
"Broome County, New York",923,198675
"Cattaraugus County, New York",282,77041
"Cayuga County, New York",162,76251
"Chautauqua County, New York",415,127675
"Chemung County, New York",374,84152
"Chenango County, New York",142,47216
"Clinton County, New York",166,79839
"Columbia County, New York",231,61567
"Cortland County, New York",131,46814
"Delaware County, New York",78,44302
"Dutchess County, New York",1004,295897
"Erie County, New York",4124,954244
"Essex County, New York",70,37362
"Franklin County, New York",64,47556
"Fulton County, New York",184,53322
"Genesee County, New York",238,58394
"Greene County, New York",36,47933
"Herkimer County, New York",105,60143
"Jefferson County, New York",193,116723
"Kings County, New York",11127,2736075
"Lewis County, New York",45,26580
"Livingston County, New York",128,61842
"Madison County, New York",184,68012
"Monroe County, New York",2657,759444
"Montgomery County, New York",244,49526
"Nassau County, New York",6729,1395777
"New York County, New York",7557,1694250
"Niagara County, New York",627,212650
"Oneida County, New York",1069,232111
"Onondaga County, New York",1827,476511
"Ontario County, New York",345,112459
"Orange County, New York",1403,401324
"Orleans County, New York",93,40355
"Oswego County, New York",182,117533
"Otsego County, New York",252,58529
"Putnam County, New York",139,97682
"Queens County, New York",9577,2405464
"Rensselaer County, New York",333,161138
"Richmond County, New York",2359,495749
"Rockland County, New York",1361,338329
"St. Lawrence County, New York",285,108502
"Saratoga County, New York",352,235499
"Schenectady County, New York",430,158058
"Schoharie County, New York",26,29718
"Schuyler County, New York",11,17894
"Seneca County, New York",54,33811
"Steuben County, New York",291,93577
"Suffolk County, New York",6628,1525936
"Sullivan County, New York",155,78617
"Tioga County, New York",77,48461
"Tompkins County, New York",150,105744
"Ulster County, New York",327,181856
"Warren County, New York",300,65737
"Washington County, New York",91,61302
"Wayne County, New York",171,91286
"Westchester County, New York",3933,1004445
"Wyoming County, New York",99,40531
"Yates County, New York",44,24768
"Adams County, Ohio",102,27474
"Allen County, Ohio",900,102204
"Ashland County, Ohio",216,52443
"Ashtabula County, Ohio",453,97596
"Athens County, Ohio",130,62421
"Auglaize County, Ohio",146,46421
"Belmont County, Ohio",185,66495
"Brown County, Ohio",69,43674
"Butler County, Ohio",1272,390378
"Carroll County, Ohio",37,26714
"Champaign County, Ohio",62,38707
"Clark County, Ohio",642,135973
"Clermont County, Ohio",330,208592
"Clinton County, Ohio",155,42022
"Columbiana County, Ohio",448,101873
"Coshocton County, Ohio",88,36602
"Crawford County, Ohio",230,42010
"Cuyahoga County, Ohio",6116,1264813
"Darke County, Ohio",161,51883
"Defiance County, Ohio",184,38274
"Delaware County, Ohio",211,214120
"Erie County, Ohio",390,75619
"Fairfield County, Ohio",543,158918
"Fayette County, Ohio",85,28947
"Franklin County, Ohio",5151,1323800
"Fulton County, Ohio",116,42713
"Gallia County, Ohio",259,29227
"Geauga County, Ohio",430,95403
"Greene County, Ohio",564,167971
"Guernsey County, Ohio",132,38434
"Hamilton County, Ohio",3648,830625
"Hancock County, Ohio",456,74926
"Hardin County, Ohio",47,30691
"Harrison County, Ohio",43,14482
"Henry County, Ohio",66,27662
"Highland County, Ohio",100,43317
"Hocking County, Ohio",65,28054
"Holmes County, Ohio",208,44217
"Huron County, Ohio",189,58565
"Jackson County, Ohio",78,32654
"Jefferson County, Ohio",347,65247
"Knox County, Ohio",207,62711
"Lake County, Ohio",711,232524
"Lawrence County, Ohio",80,58236
"Licking County, Ohio",500,178509
"Logan County, Ohio",117,46144
"Lorain County, Ohio",1172,312974
"Lucas County, Ohio",2640,431273
"Madison County, Ohio",73,43847
"Mahoning County, Ohio",1565,228621
"Marion County, Ohio",448,65366
"Medina County, Ohio",384,182475
"Meigs County, Ohio",41,22197
"Mercer County, Ohio",116,42528
"Miami County, Ohio",442,108777
"Monroe County, Ohio",25,13383
"Montgomery County, Ohio",3442,537316
"Morgan County, Ohio",45,13802
"Morrow County, Ohio",40,34940
"Muskingum County, Ohio",480,86412
"Noble County, Ohio",44,14106
"Ottawa County, Ohio",94,40355
"Paulding County, Ohio",46,18803
"Perry County, Ohio",56,35409
"Pickaway County, Ohio",189,58537
"Pike County, Ohio",56,27089
"Portage County, Ohio",432,161790
"Preble County, Ohio",53,40998
"Putnam County, Ohio",85,34448
"Richland County, Ohio",600,124933
"Ross County, Ohio",483,77095
"Sandusky County, Ohio",231,58900
"Scioto County, Ohio",414,74012
"Seneca County, Ohio",161,55080
"Shelby County, Ohio",126,48222
"Stark County, Ohio",2268,374853
"Summit County, Ohio",2286,540436
"Trumbull County, Ohio",851,202069
"Tuscarawas County, Ohio",501,93265
"Union County, Ohio",121,62790
"Van Wert County, Ohio",114,28937
"Vinton County, Ohio",26,12804
"Warren County, Ohio",539,242338
"Washington County, Ohio",433,59769
"Wayne County, Ohio",459,116889
"Williams County, Ohio",131,37106
"Wood County, Ohio",282,132251
"Wyandot County, Ohio",65,21894
"Adair County, Oklahoma",41,19494
"Atoka County, Oklahoma",39,14135
"Beckham County, Oklahoma",118,22411
"Blaine County, Oklahoma",24,8731
"Bryan County, Oklahoma",226,46072
"Caddo County, Oklahoma",95,26934
"Canadian County, Oklahoma",261,154154
"Carter County, Oklahoma",302,48004
"Cherokee County, Oklahoma",242,47073
"Choctaw County, Oklahoma",48,14203
"Cleveland County, Oklahoma",909,295514
"Coal County, Oklahoma",15,5270
"Comanche County, Oklahoma",510,121124
"Cotton County, Oklahoma",15,5523
"Craig County, Oklahoma",38,14104
"Creek County, Oklahoma",122,71753
"Custer County, Oklahoma",119,28521
"Delaware County, Oklahoma",164,40393
"Dewey County, Oklahoma",32,4481
"Garfield County, Oklahoma",384,62844
"Garvin County, Oklahoma",86,25655
"Grady County, Oklahoma",158,54800
"Greer County, Oklahoma",31,5492
"Haskell County, Oklahoma",23,11562
"Hughes County, Oklahoma",39,13367
"Jackson County, Oklahoma",132,24785
"Jefferson County, Oklahoma",17,5338
"Johnston County, Oklahoma",26,10276
"Kay County, Oklahoma",204,43701
"Kingfisher County, Oklahoma",51,15187
"Kiowa County, Oklahoma",37,8503
"Latimer County, Oklahoma",31,9446
"Le Flore County, Oklahoma",72,48131
"Lincoln County, Oklahoma",57,33460
"Logan County, Oklahoma",81,49552
"Love County, Oklahoma",46,10146
"McClain County, Oklahoma",51,41667
"McCurtain County, Oklahoma",103,30809
"McIntosh County, Oklahoma",31,18944
"Major County, Oklahoma",31,7781
"Marshall County, Oklahoma",20,15303
"Mayes County, Oklahoma",64,39044
"Murray County, Oklahoma",74,13905
"Muskogee County, Oklahoma",495,66344
"Noble County, Oklahoma",26,10925
"Nowata County, Oklahoma",21,9322
"Okfuskee County, Oklahoma",31,11314
"Oklahoma County, Oklahoma",5160,796567
"Okmulgee County, Oklahoma",97,36706
"Osage County, Oklahoma",63,45823
"Ottawa County, Oklahoma",124,30291
"Pawnee County, Oklahoma",29,15551
"Payne County, Oklahoma",195,81649
"Pittsburg County, Oklahoma",265,43774
"Pontotoc County, Oklahoma",240,38065
"Pottawatomie County, Oklahoma",387,72449
"Pushmataha County, Oklahoma",28,10816
"Rogers County, Oklahoma",211,95245
"Seminole County, Oklahoma",51,23562
"Sequoyah County, Oklahoma",73,39280
"Stephens County, Oklahoma",265,42844
"Texas County, Oklahoma",41,21386
"Tulsa County, Oklahoma",4437,669272
"Wagoner County, Oklahoma",80,80986
"Washington County, Oklahoma",405,52452
"Washita County, Oklahoma",29,10922
"Woods County, Oklahoma",35,8622
"Woodward County, Oklahoma",99,20473
"Baker County, Oregon",31,16666
"Benton County, Oregon",150,95183
"Clackamas County, Oregon",731,421404
"Clatsop County, Oregon",50,41078
"Columbia County, Oregon",30,52603
"Coos County, Oregon",146,64929
"Crook County, Oregon",46,24735
"Curry County, Oregon",41,23447
"Deschutes County, Oregon",578,198256
"Douglas County, Oregon",379,111202
"Harney County, Oregon",23,7499
"Hood River County, Oregon",34,23978
"Jackson County, Oregon",642,223262
"Jefferson County, Oregon",33,24507
"Josephine County, Oregon",363,88092
"Klamath County, Oregon",230,69416
"Lake County, Oregon",17,8158
"Lane County, Oregon",718,382975
"Lincoln County, Oregon",79,50400
"Linn County, Oregon",209,128610
"Malheur County, Oregon",52,31575
"Marion County, Oregon",828,345910
"Multnomah County, Oregon",1903,815429
"Polk County, Oregon",51,87432
"Tillamook County, Oregon",54,27393
"Umatilla County, Oregon",156,80068
"Union County, Oregon",73,26197
"Wallowa County, Oregon",18,7387
"Wasco County, Oregon",69,26663
"Washington County, Oregon",912,600383
"Yamhill County, Oregon",196,107721
"Adams County, Pennsylvania",316,103829
"Allegheny County, Pennsylvania",5453,1250585
"Armstrong County, Pennsylvania",240,65553
"Beaver County, Pennsylvania",712,168228
"Bedford County, Pennsylvania",122,47573
"Berks County, Pennsylvania",1633,428840
"Blair County, Pennsylvania",891,122820
"Bradford County, Pennsylvania",406,59969
"Bucks County, Pennsylvania",2037,646526
"Butler County, Pennsylvania",809,193767
"Cambria County, Pennsylvania",778,133477
"Carbon County, Pennsylvania",238,64750
"Centre County, Pennsylvania",413,158163
"Chester County, Pennsylvania",1488,534408
"Clarion County, Pennsylvania",153,37236
"Clearfield County, Pennsylvania",477,80564
"Clinton County, Pennsylvania",48,37456
"Columbia County, Pennsylvania",134,64725
"Crawford County, Pennsylvania",340,83937
"Cumberland County, Pennsylvania",1206,259464
"Dauphin County, Pennsylvania",1495,286399
"Delaware County, Pennsylvania",1941,576842
"Elk County, Pennsylvania",77,30984
"Erie County, Pennsylvania",1224,270869
"Fayette County, Pennsylvania",622,128816
"Forest County, Pennsylvania",22,6974
"Franklin County, Pennsylvania",834,155950
"Fulton County, Pennsylvania",47,14559
"Greene County, Pennsylvania",72,35946
"Huntingdon County, Pennsylvania",180,44094
"Indiana County, Pennsylvania",364,83231
"Jefferson County, Pennsylvania",198,44496
"Juniata County, Pennsylvania",88,23496
"Lackawanna County, Pennsylvania",1057,215911
"Lancaster County, Pennsylvania",2035,552969
"Lawrence County, Pennsylvania",394,86069
"Lebanon County, Pennsylvania",471,143262
"Lehigh County, Pennsylvania",2370,374572
"Luzerne County, Pennsylvania",1608,325613
"Lycoming County, Pennsylvania",696,114182
"McKean County, Pennsylvania",140,40426
"Mercer County, Pennsylvania",488,110656
"Mifflin County, Pennsylvania",377,46145
"Monroe County, Pennsylvania",579,168323
"Montgomery County, Pennsylvania",3459,856559
"Montour County, Pennsylvania",863,18145
"Northampton County, Pennsylvania",917,312955
"Northumberland County, Pennsylvania",290,91647
"Perry County, Pennsylvania",68,45837
"Philadelphia County, Pennsylvania",5393,1603799
"Pike County, Pennsylvania",39,58537
"Potter County, Pennsylvania",78,16401
"Schuylkill County, Pennsylvania",564,143048
"Snyder County, Pennsylvania",33,39735
"Somerset County, Pennsylvania",409,74147
"Sullivan County, Pennsylvania",21,5832
"Susquehanna County, Pennsylvania",95,38423
"Tioga County, Pennsylvania",176,41046
"Union County, Pennsylvania",254,42675
"Venango County, Pennsylvania",221,50455
"Warren County, Pennsylvania",183,38594
"Washington County, Pennsylvania",717,209325
"Wayne County, Pennsylvania",196,51151
"Westmoreland County, Pennsylvania",1139,354663
"Wyoming County, Pennsylvania",47,26073
"York County, Pennsylvania",1643,456442
"Bristol County, Rhode Island",99,50786
"Kent County, Rhode Island",527,170358
"Newport County, Rhode Island",101,85652
"Providence County, Rhode Island",3035,660739
"Washington County, Rhode Island",238,129836
"Abbeville County, South Carolina",40,24287
"Aiken County, South Carolina",491,168811
"Anderson County, South Carolina",1127,203723
"Bamberg County, South Carolina",26,13313
"Barnwell County, South Carolina",22,20585
"Beaufort County, South Carolina",408,187108
"Berkeley County, South Carolina",345,229854
"Calhoun County, South Carolina",28,14122
"Charleston County, South Carolina",1741,408317
"Cherokee County, South Carolina",111,56216
"Chester County, South Carolina",59,32294
"Chesterfield County, South Carolina",149,43270
"Clarendon County, South Carolina",92,31148
"Colleton County, South Carolina",232,38604
"Darlington County, South Carolina",294,62907
"Dillon County, South Carolina",94,28295
"Dorchester County, South Carolina",324,161469
"Edgefield County, South Carolina",36,25648
"Fairfield County, South Carolina",50,20951
"Florence County, South Carolina",1373,137064
"Georgetown County, South Carolina",399,63402
"Greenville County, South Carolina",2551,525539
"Greenwood County, South Carolina",488,69349
"Hampton County, South Carolina",63,18561
"Horry County, South Carolina",1370,351028
"Jasper County, South Carolina",127,28806
"Kershaw County, South Carolina",208,65407
"Lancaster County, South Carolina",264,96010
"Laurens County, South Carolina",234,67533
"Lee County, South Carolina",19,16530
"Lexington County, South Carolina",1060,293985
"McCormick County, South Carolina",14,9522
"Marion County, South Carolina",105,29187
"Marlboro County, South Carolina",17,26668
"Newberry County, South Carolina",143,37722
"Oconee County, South Carolina",421,78604
"Orangeburg County, South Carolina",459,84225
"Pickens County, South Carolina",457,131401
"Richland County, South Carolina",1510,416145
"Saluda County, South Carolina",38,18859
"Spartanburg County, South Carolina",2089,328002
"Sumter County, South Carolina",436,105554
"Union County, South Carolina",50,27240
"Williamsburg County, South Carolina",67,31019
"York County, South Carolina",773,282108
"Beadle County, South Dakota",51,19153
"Bennett County, South Dakota",12,3378
"Bon Homme County, South Dakota",23,6997
"Brookings County, South Dakota",53,34380
"Brown County, South Dakota",161,38301
"Brule County, South Dakota",21,5253
"Butte County, South Dakota",22,10238
"Charles Mix County, South Dakota",17,9370
"Clay County, South Dakota",15,14966
"Codington County, South Dakota",88,28323
"Custer County, South Dakota",17,8319
"Davison County, South Dakota",91,19960
"Day County, South Dakota",36,5451
"Douglas County, South Dakota",19,2828
"Edmunds County, South Dakota",13,3981
"Fall River County, South Dakota",22,6971
"Faulk County, South Dakota",12,2126
"Grant County, South Dakota",41,7556
"Gregory County, South Dakota",25,3991
"Haakon County, South Dakota",12,1876
"Hamlin County, South Dakota",40,6159
"Hand County, South Dakota",11,3146
"Hughes County, South Dakota",69,17774
"Hutchinson County, South Dakota",30,7423
"Jerauld County, South Dakota",18,1663
"Kingsbury County, South Dakota",12,5184
"Lake County, South Dakota",27,11057
"Lawrence County, South Dakota",62,25766
"Lincoln County, South Dakota",72,65165
"McCook County, South Dakota",25,5682
"McPherson County, South Dakota",11,2409
"Meade County, South Dakota",72,29851
"Miner County, South Dakota",10,2307
"Minnehaha County, South Dakota",1326,197209
"Moody County, South Dakota",19,6340
"Pennington County, South Dakota",470,109231
"Roberts County, South Dakota",36,10271
"Shannon County, South Dakota",11,NA
"Spink County, South Dakota",34,6362
"Todd County, South Dakota",18,9319
"Tripp County, South Dakota",13,5621
"Turner County, South Dakota",51,8662
"Union County, South Dakota",12,16813
"Walworth County, South Dakota",22,5310
"Yankton County, South Dakota",122,23311
"Ziebach County, South Dakota",13,2413
"Anderson County, Tennessee",401,77136
"Bedford County, Tennessee",123,50239
"Benton County, Tennessee",29,15863
"Bledsoe County, Tennessee",14,14916
"Blount County, Tennessee",504,135283
"Bradley County, Tennessee",429,108620
"Campbell County, Tennessee",127,39277
"Cannon County, Tennessee",36,14512
"Carroll County, Tennessee",126,28434
"Carter County, Tennessee",249,56349
"Cheatham County, Tennessee",37,41065
"Chester County, Tennessee",24,17348
"Claiborne County, Tennessee",158,32038
"Clay County, Tennessee",29,7580
"Cocke County, Tennessee",220,35998
"Coffee County, Tennessee",216,57882
"Crockett County, Tennessee",52,13909
"Cumberland County, Tennessee",296,61152
"Davidson County, Tennessee",3897,715875
"Decatur County, Tennessee",20,11442
"DeKalb County, Tennessee",41,20078
"Dickson County, Tennessee",348,54314
"Dyer County, Tennessee",211,36803
"Fayette County, Tennessee",40,42002
"Fentress County, Tennessee",37,18489
"Franklin County, Tennessee",183,42769
"Gibson County, Tennessee",108,50409
"Giles County, Tennessee",115,30344
"Grainger County, Tennessee",32,23527
"Greene County, Tennessee",257,70152
"Grundy County, Tennessee",16,13525
"Hamblen County, Tennessee",399,64500
"Hamilton County, Tennessee",2210,366215
"Hancock County, Tennessee",12,6659
"Hardeman County, Tennessee",44,25460
"Hardin County, Tennessee",87,26829
"Hawkins County, Tennessee",66,56718
"Haywood County, Tennessee",25,17862
"Henderson County, Tennessee",79,27841
"Henry County, Tennessee",124,32197
"Hickman County, Tennessee",23,24909
"Houston County, Tennessee",32,8281
"Humphreys County, Tennessee",32,18992
"Jackson County, Tennessee",16,11619
"Jefferson County, Tennessee",260,54679
"Johnson County, Tennessee",36,17950
"Knox County, Tennessee",2627,478981
"Lake County, Tennessee",13,7004
"Lauderdale County, Tennessee",32,25139
"Lawrence County, Tennessee",132,44163
"Lewis County, Tennessee",19,12581
"Lincoln County, Tennessee",100,35326
"Loudon County, Tennessee",129,54887
"McMinn County, Tennessee",168,53275
"McNairy County, Tennessee",41,25859
"Macon County, Tennessee",44,25215
"Madison County, Tennessee",1399,98843
"Marion County, Tennessee",40,28835
"Marshall County, Tennessee",41,34320
"Maury County, Tennessee",639,100975
"Meigs County, Tennessee",11,12755
"Monroe County, Tennessee",214,46249
"Montgomery County, Tennessee",527,219994
"Moore County, Tennessee",11,6469
"Morgan County, Tennessee",23,21027
"Obion County, Tennessee",157,30788
"Overton County, Tennessee",94,22514
"Perry County, Tennessee",26,8381
"Pickett County, Tennessee",12,5006
"Polk County, Tennessee",14,17547
"Putnam County, Tennessee",528,79844
"Rhea County, Tennessee",100,32870
"Roane County, Tennessee",210,53393
"Robertson County, Tennessee",222,72803
"Rutherford County, Tennessee",1304,341481
"Scott County, Tennessee",49,21852
"Sequatchie County, Tennessee",21,15829
"Sevier County, Tennessee",363,98391
"Shelby County, Tennessee",4003,929722
"Smith County, Tennessee",35,19914
"Stewart County, Tennessee",30,13662
"Sullivan County, Tennessee",1440,158161
"Sumner County, Tennessee",774,196281
"Tipton County, Tennessee",91,60979
"Unicoi County, Tennessee",32,17924
"Union County, Tennessee",19,19802
"Van Buren County, Tennessee",13,6168
"Warren County, Tennessee",135,40951
"Washington County, Tennessee",978,133005
"Wayne County, Tennessee",34,16232
"Weakley County, Tennessee",106,32902
"White County, Tennessee",51,27356
"Williamson County, Tennessee",437,247733
"Wilson County, Tennessee",367,147747
"Anderson County, Texas",224,57922
"Andrews County, Texas",42,18614
"Angelina County, Texas",620,86394
"Aransas County, Texas",27,23831
"Atascosa County, Texas",176,48985
"Austin County, Texas",24,30168
"Bailey County, Texas",18,6904
"Bandera County, Texas",17,20843
"Bastrop County, Texas",51,97218
"Baylor County, Texas",16,3465
"Bee County, Texas",99,31061
"Bell County, Texas",1433,370644
"Bexar County, Texas",9211,2009322
"Blanco County, Texas",15,11376
"Bosque County, Texas",32,18226
"Bowie County, Texas",964,92903
"Brazoria County, Texas",790,372040
"Brazos County, Texas",872,233848
"Brewster County, Texas",23,9545
"Brooks County, Texas",14,7086
"Brown County, Texas",240,38101
"Burleson County, Texas",20,17642
"Burnet County, Texas",190,49123
"Caldwell County, Texas",57,45887
"Calhoun County, Texas",31,20105
"Callahan County, Texas",22,13703
"Cameron County, Texas",2544,421012
"Camp County, Texas",46,12465
"Cass County, Texas",96,28445
"Castro County, Texas",18,7376
"Chambers County, Texas",66,46571
"Cherokee County, Texas",195,50411
"Childress County, Texas",29,6666
"Clay County, Texas",20,10213
"Coke County, Texas",10,3280
"Coleman County, Texas",49,7686
"Collin County, Texas",2849,1066465
"Collingsworth County, Texas",13,2648
"Colorado County, Texas",45,20555
"Comal County, Texas",600,161482
"Comanche County, Texas",62,13590
"Cooke County, Texas",115,41671
"Coryell County, Texas",115,83091
"Crane County, Texas",25,4676
"Crosby County, Texas",12,5125
"Dallas County, Texas",7516,2611491
"Dawson County, Texas",57,12457
"Deaf Smith County, Texas",48,18585
"Denton County, Texas",1716,906405
"DeWitt County, Texas",93,19822
"Dimmit County, Texas",18,8611
"Duval County, Texas",15,9827
"Eastland County, Texas",53,17733
"Ector County, Texas",976,165171
"Ellis County, Texas",505,192441
"El Paso County, Texas",4528,865655
"Erath County, Texas",78,42545
"Falls County, Texas",27,16963
"Fannin County, Texas",84,35661
"Fayette County, Texas",53,24436
"Floyd County, Texas",29,5397
"Fort Bend County, Texas",1255,822779
"Franklin County, Texas",15,10357
"Freestone County, Texas",42,19445
"Frio County, Texas",37,18392
"Gaines County, Texas",28,21599
"Galveston County, Texas",1048,350673
"Gillespie County, Texas",122,26722
"Gonzales County, Texas",54,19657
"Gray County, Texas",125,21229
"Grayson County, Texas",1022,135552
"Gregg County, Texas",1244,124234
"Grimes County, Texas",27,29292
"Guadalupe County, Texas",345,172709
"Hale County, Texas",165,32526
"Hall County, Texas",15,2817
"Hamilton County, Texas",28,8221
"Hansford County, Texas",18,5281
"Hardin County, Texas",63,56234
"Harris County, Texas",13681,4731129
"Harrison County, Texas",96,68834
"Hartley County, Texas",23,5376
"Haskell County, Texas",18,5412
"Hays County, Texas",514,241066
"Henderson County, Texas",271,82145
"Hidalgo County, Texas",4062,870796
"Hill County, Texas",87,35869
"Hockley County, Texas",84,21543
"Hood County, Texas",257,61597
"Hopkins County, Texas",230,36792
"Houston County, Texas",55,22067
"Howard County, Texas",125,34864
"Hunt County, Texas",384,99957
"Hutchinson County, Texas",69,20614
"Jack County, Texas",18,8474
"Jackson County, Texas",15,14987
"Jasper County, Texas",83,32983
"Jefferson County, Texas",1578,256526
"Jim Wells County, Texas",148,38893
"Johnson County, Texas",303,179999
"Jones County, Texas",26,19653
"Karnes County, Texas",45,14707
"Kaufman County, Texas",183,145303
"Kendall County, Texas",53,44281
"Kerr County, Texas",208,52594
"Kleberg County, Texas",123,31038
"Knox County, Texas",20,3353
"Lamar County, Texas",368,50082
"Lamb County, Texas",55,13043
"Lampasas County, Texas",47,21632
"La Salle County, Texas",13,6667
"Lavaca County, Texas",78,20337
"Lee County, Texas",20,17480
"Leon County, Texas",16,15717
"Liberty County, Texas",107,91632
"Limestone County, Texas",71,22147
"Lipscomb County, Texas",10,3058
"Llano County, Texas",60,21243
"Lubbock County, Texas",2498,310642
"Lynn County, Texas",11,5595
"McCulloch County, Texas",16,7634
"McLennan County, Texas",1367,260582
"Madison County, Texas",21,13463
"Marion County, Texas",12,9728
"Matagorda County, Texas",131,36249
"Maverick County, Texas",260,57885
"Medina County, Texas",50,50739
"Midland County, Texas",659,169984
"Milam County, Texas",33,24750
"Mills County, Texas",20,4454
"Mitchell County, Texas",15,8991
"Montague County, Texas",61,19965
"Montgomery County, Texas",2328,620451
"Moore County, Texas",80,21362
"Morris County, Texas",19,11971
"Nacogdoches County, Texas",431,64651
"Navarro County, Texas",208,52623
"Newton County, Texas",27,12216
"Nolan County, Texas",107,14736
"Nueces County, Texas",2069,353170
"Ochiltree County, Texas",34,10015
"Orange County, Texas",57,84806
"Palo Pinto County, Texas",132,28408
"Panola County, Texas",62,22492
"Parker County, Texas",334,148228
"Parmer County, Texas",35,9871
"Pecos County, Texas",15,15197
"Polk County, Texas",147,50119
"Potter County, Texas",1695,118527
"Rains County, Texas",13,12154
"Randall County, Texas",140,140761
"Red River County, Texas",14,11588
"Reeves County, Texas",41,14741
"Refugio County, Texas",14,6739
"Robertson County, Texas",21,16759
"Rockwall County, Texas",505,107832
"Runnels County, Texas",47,9899
"Rusk County, Texas",105,52223
"Sabine County, Texas",27,9892
"San Augustine County, Texas",30,7921
"San Jacinto County, Texas",21,27399
"San Patricio County, Texas",67,68754
"Scurry County, Texas",65,16929
"Shelby County, Texas",33,24022
"Smith County, Texas",2464,233484
"Somervell County, Texas",41,9204
"Starr County, Texas",123,65918
"Stephens County, Texas",21,9104
"Swisher County, Texas",11,6971
"Tarrant County, Texas",7956,2110608
"Taylor County, Texas",1343,143205
"Terry County, Texas",36,11832
"Titus County, Texas",163,31245
"Tom Green County, Texas",703,120007
"Travis County, Texas",2527,1290209
"Trinity County, Texas",22,13600
