"county","deaths","population"
"Jefferson County, Colorado",1573,582902
"Kit Carson County, Colorado",13,7086
"La Plata County, Colorado",149,55639
"Larimer County, Colorado",851,359066
"Las Animas County, Colorado",18,14557
"Logan County, Colorado",92,21527
"Mesa County, Colorado",783,155710
"Moffat County, Colorado",43,13291
"Montezuma County, Colorado",38,25846
"Montrose County, Colorado",188,42680
"Morgan County, Colorado",96,29106
"Otero County, Colorado",68,18692
"Park County, Colorado",10,17395
"Phillips County, Colorado",13,4537
"Prowers County, Colorado",29,11995
"Pueblo County, Colorado",930,168168
"Rio Blanco County, Colorado",13,6531
"Rio Grande County, Colorado",21,11539
"Routt County, Colorado",28,24824
"Summit County, Colorado",15,31052
"Teller County, Colorado",33,24711
"Washington County, Colorado",10,4814
"Weld County, Colorado",662,328976
"Yuma County, Colorado",21,9990
"Fairfield County, Connecticut",3159,NA
"Hartford County, Connecticut",3792,NA
"Litchfield County, Connecticut",378,NA
"Middlesex County, Connecticut",557,NA
"New Haven County, Connecticut",3336,NA
"New London County, Connecticut",744,NA
"Tolland County, Connecticut",144,NA
"Windham County, Connecticut",239,NA
"District of Columbia, District of Columbia",2194,689546
"Kent County, Delaware",643,181856
"New Castle County, Delaware",1728,570721
"Sussex County, Delaware",977,237380
"Alachua County, Florida",1648,278475
"Baker County, Florida",26,28263
"Bay County, Florida",927,175204
"Bradford County, Florida",34,28306
"Brevard County, Florida",2321,606603
"Broward County, Florida",6256,1944376
"Calhoun County, Florida",32,13644
"Charlotte County, Florida",829,186850
"Citrus County, Florida",915,153855
"Clay County, Florida",994,218250
"Collier County, Florida",1324,375760
"Columbia County, Florida",494,69701
"DeSoto County, Florida",73,33975
"Dixie County, Florida",11,16758
"Duval County, Florida",4205,995560
"Escambia County, Florida",1814,321897
"Flagler County, Florida",407,115383
"Franklin County, Florida",12,12452
"Gadsden County, Florida",56,43820
"Gilchrist County, Florida",17,17862
"Gulf County, Florida",13,14200
"Hardee County, Florida",22,25326
"Hendry County, Florida",51,39626
"Hernando County, Florida",1151,194515
"Highlands County, Florida",773,101238
"Hillsborough County, Florida",4278,1459773
"Holmes County, Florida",60,19657
"Indian River County, Florida",616,159789
"Jackson County, Florida",183,47309
"Jefferson County, Florida",21,14507
"Lafayette County, Florida",16,8225
"Lake County, Florida",1558,383959
"Lee County, Florida",2308,760820
"Leon County, Florida",1379,292203
"Levy County, Florida",74,42912
"Madison County, Florida",31,17970
"Manatee County, Florida",1555,399705
"Marion County, Florida",2265,375906
"Martin County, Florida",803,158435
"Miami-Dade County, Florida",10715,2701762
"Monroe County, Florida",54,82879
"Nassau County, Florida",143,90355
"Okaloosa County, Florida",707,211664
"Okeechobee County, Florida",149,39636
"Orange County, Florida",3705,1429901
"Osceola County, Florida",1298,388664
"Palm Beach County, Florida",5984,1492198
"Pasco County, Florida",2058,561897
"Pinellas County, Florida",3611,959103
"Polk County, Florida",2858,725041
"Putnam County, Florida",325,73327
"St. Johns County, Florida",380,273427
"St. Lucie County, Florida",1026,329227
"Santa Rosa County, Florida",349,187991
"Sarasota County, Florida",2207,434005
"Seminole County, Florida",1029,470855
